key,source,params_json,data_json,timestamp
OVERVIEW:2959a309c1161cc37eac5b57eb35e2a025bec9f205a6b5db21827774b07e60ae,OVERVIEW,"{""function"":""OVERVIEW"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789547
NEWS_SENTIMENT:87a98c3857b60a0f15691e88213a3b669cd296cf27e32f4f709d3649d2d9537d,NEWS_SENTIMENT,"{""function"":""NEWS_SENTIMENT"",""tickers"":""AAPL,MSFT""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789547
ETF_PROFILE:19376ffaa5832722d20cca80da7a2e5669b1b72f6aba92bb8d8a0edb79dd03d9,ETF_PROFILE,"{""function"":""ETF_PROFILE"",""symbol"":""SPY""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789548
ETF_HOLDINGS:fd4114a6614ebbc4fe9d766ede7258794f35195b84e881eab847d1f8073d1003,ETF_HOLDINGS,"{""function"":""ETF_HOLDINGS"",""symbol"":""SPY""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789548
DIVIDEND_HISTORY:fbd0d26de88088368eea78ba1c9f4c4a6ea4ec0f28ea1c8ed9227aa3cb813df1,DIVIDEND_HISTORY,"{""function"":""DIVIDEND_HISTORY"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789548
SPLIT_HISTORY:1e8d1e5abd50d7e0f2ad70537090d50c603da19933e92d04a857027b79e5fbe8,SPLIT_HISTORY,"{""function"":""SPLIT_HISTORY"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789549
INCOME_STATEMENT:39e3bf3fb7bb06ab5e872c2801c7289a9cae106cd8b0ef4760426b015c9c8df2,INCOME_STATEMENT,"{""function"":""INCOME_STATEMENT"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789549
BALANCE_SHEET:59ddd1d79ae6475371ab4a0122766a46fbff5c7d01a603a521716cdae1d83234,BALANCE_SHEET,"{""function"":""BALANCE_SHEET"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789549
CASH_FLOW:5af724a30d5972b40b75eb417367cb26220fde1071556185359c643152c3936a,CASH_FLOW,"{""function"":""CASH_FLOW"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789549
EARNINGS:ba512b4aba54d278251da3370fc0d931009f685ba2a2250edc35a544e9600f96,EARNINGS,"{""function"":""EARNINGS"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789550
EARNINGS_ESTIMATE:d441046fb9983b993a8109cedbc2f661bad29f24cfb3b34b9fdf5e9b94236951,EARNINGS_ESTIMATE,"{""function"":""EARNINGS_ESTIMATE"",""symbol"":""AAPL""}","{""Information"":""We have detected your API key as 3B10HMD7VDM29PS9 and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.""}",1754789550
LISTING_STATUS:44a313d6fc9b69f7f9ddea630babf54c57faa1dd9e0a0036f8c566388359fd68,LISTING_STATUS,"{""function"":""LISTING_STATUS"",""state"":""active""}",{},1754789550
